checkpoint,arch,method,seed,domain,n_samples,source_T,raw_accuracy,raw_nll,raw_brier,raw_ece,raw_adaptive_ece,raw_classwise_ece,sourcets_accuracy,sourcets_nll,sourcets_brier,sourcets_ece,sourcets_adaptive_ece,sourcets_classwise_ece,oracle_T,oraclets_accuracy,oraclets_nll,oraclets_brier,oraclets_ece,oraclets_adaptive_ece,oraclets_classwise_ece
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_brightness_sev3,10000,1.3811187744140625,0.9372,0.24156633,0.10226905960746575,0.03515363440513613,0.03513627168536185,0.007961903629757,0.9372,0.20991665,0.09701656568544652,0.014890823888778652,0.016062057465314857,0.005160675402253399,1.4009547233581543,0.9372,0.20956215,0.09683623402425981,0.013263756340742155,0.015109462231397626,0.005023220561627531
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_brightness_sev4,10000,1.3811187744140625,0.9274,0.26927835,0.11454630159821837,0.041162227463722265,0.041162246048450465,0.008981904188032495,0.9274,0.23338638,0.10826353862047508,0.018952343729138406,0.02023951379656791,0.005745832996130919,1.415747880935669,0.9274,0.23263259,0.10789021511709443,0.016675776486098755,0.01873988612294198,0.005667303102663717
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_brightness_sev5,10000,1.3811187744140625,0.9042,0.37058252,0.15331190632892652,0.05617612834870819,0.05617620279788969,0.012209624928550331,0.9042,0.31565318,0.1443136633525944,0.030017415940761596,0.030164140802621833,0.008527827387289145,1.4793779850006104,0.9042,0.3117209,0.14280759099129428,0.021055940851569203,0.02213959609866142,0.008133970017179382
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_contrast_sev1,10000,1.3811187744140625,0.9375,0.2362358,0.1001652477440958,0.037205819624662406,0.0370309966683388,0.008088605753472656,0.9375,0.20349157,0.09445854610832546,0.018394239482283622,0.019261047548055653,0.005254806787533454,1.4159009456634521,0.9375,0.20280078,0.09410143884166346,0.016295496648550067,0.018247828227281576,0.005178964870776981
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_contrast_sev2,10000,1.3811187744140625,0.9058,0.37730724,0.15261904647083485,0.05653486808836464,0.056534883499145504,0.012852572293149716,0.9058,0.31717047,0.14422682722281455,0.033096420115232505,0.032292873471975334,0.009642275489000606,1.5162250995635986,0.9058,0.3108588,0.14227714350880788,0.021136882026493567,0.02067181427478789,0.009418536214025228
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_contrast_sev3,10000,1.3811187744140625,0.8662,0.5457136,0.21520456033826077,0.08195679696798326,0.08145396987795828,0.018794259358993728,0.8662,0.45297578,0.20303032951756428,0.0512211215734482,0.050894177210330974,0.01513919804929057,1.5995347499847412,0.8662,0.43608066,0.1985956634223903,0.02813922691643235,0.027608063179254527,0.014342202333612367
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_contrast_sev4,10000,1.3811187744140625,0.7717,0.95765954,0.36692219701639367,0.14495431288182736,0.14484647056460384,0.03310513456928543,0.7717,0.7819542,0.34273733124079997,0.10112220466434957,0.10112224414348603,0.027763660114924427,1.7557013034820557,0.7717,0.7253251,0.327786280685393,0.04705290975570679,0.04692636836767197,0.025382981449086222
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_contrast_sev5,10000,1.3811187744140625,0.374,3.0551083,0.9808511297755318,0.40060595430433754,0.4004600339859724,0.09605213328918909,0.374,2.4255817,0.9055857391129195,0.31501170916855337,0.31501169890463354,0.08589175994602496,2.4743120670318604,0.374,1.9221773,0.7897239198424043,0.10665176011770965,0.1062663505166769,0.05877455249188468
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_defocus_blur_sev1,10000,1.3811187744140625,0.9434,0.21257783,0.09066262248295727,0.03245676980614666,0.03200990161299706,0.006996876733361859,0.9434,0.18530297,0.08595887413205214,0.01351285197138788,0.015982514727115624,0.004126195856524865,1.3861163854599,0.9434,0.1852329,0.08591794079726243,0.013181367233395589,0.015732690441608424,0.004084002645844594
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_defocus_blur_sev2,10000,1.3811187744140625,0.9311,0.2691067,0.1127433015729431,0.03997747008502486,0.03986170225143432,0.008806446122981433,0.9311,0.23101845,0.1069548510422853,0.020206511595845255,0.018889018017053623,0.005883109215168514,1.4321916103363037,0.9311,0.22976162,0.1064430308830474,0.01669785280823704,0.016866133970022214,0.005764674087238966
